127.0.0.1 - - [10/Jun/2019:00:03:36 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:41 -0300] "GET /ProjetoJSF/ HTTP/1.1" 200 8015
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:41 -0300] "GET /ProjetoJSF/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:41 -0300] "GET /ProjetoJSF/javax.faces.resource/core.js.jsf;jsessionid=A93E17D98CEDAF5E7B3013A5A78A4BE8?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:41 -0300] "GET /ProjetoJSF/javax.faces.resource/jquery/jquery.js.jsf;jsessionid=A93E17D98CEDAF5E7B3013A5A78A4BE8?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:41 -0300] "GET /ProjetoJSF/javax.faces.resource/jquery/jquery-plugins.js.jsf;jsessionid=A93E17D98CEDAF5E7B3013A5A78A4BE8?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:41 -0300] "GET /ProjetoJSF/javax.faces.resource/components.js.jsf;jsessionid=A93E17D98CEDAF5E7B3013A5A78A4BE8?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:41 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:41 -0300] "GET /ProjetoJSF/javax.faces.resource/components.css.jsf;jsessionid=A93E17D98CEDAF5E7B3013A5A78A4BE8?ln=primefaces&v=7.0 HTTP/1.1" 200 93229
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:41 -0300] "GET /ProjetoJSF/javax.faces.resource/images/ui-icons_38667f_256x240.png.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:50 -0300] "POST /ProjetoJSF/index.jsf;jsessionid=A93E17D98CEDAF5E7B3013A5A78A4BE8 HTTP/1.1" 200 10020
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:50 -0300] "GET /ProjetoJSF/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:50 -0300] "GET /ProjetoJSF/javax.faces.resource/components.css.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:50 -0300] "GET /ProjetoJSF/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:50 -0300] "GET /ProjetoJSF/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:50 -0300] "GET /ProjetoJSF/javax.faces.resource/core.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:50 -0300] "GET /ProjetoJSF/javax.faces.resource/components.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:57 -0300] "POST /ProjetoJSF/gerenciarEmpresa.jsf HTTP/1.1" 200 7786
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:57 -0300] "GET /ProjetoJSF/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:57 -0300] "GET /ProjetoJSF/javax.faces.resource/components.css.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:57 -0300] "GET /ProjetoJSF/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:57 -0300] "GET /ProjetoJSF/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:57 -0300] "GET /ProjetoJSF/javax.faces.resource/core.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:57 -0300] "GET /ProjetoJSF/javax.faces.resource/components.js.jsf?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:00:03:57 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.jsf?ln=javax.faces&stage=Development HTTP/1.1" 304 -
